sequence_id,time_index,split,condition,temperature_clean,pressure_clean,vibration_clean,concentration_clean,temperature_obs,pressure_obs,vibration_obs,concentration_obs,quality,is_corrupted,corruption_type,corruption_feature,corruption_magnitude
train_0000,0,train,high_vibration,313.76890083233826,2.1930257264572264,0.76020613990357755,0.85827049047132964,313.76890083233826,2.1930257264572264,0.76020613990357755,0.85827049047132964,0.98639867637283052,False,none,none,0
train_0000,1,train,high_vibration,313.38338720627149,2.1714510812571612,0.77541495492405432,0.85765949339865655,313.38338720627149,2.1714510812571612,0.77541495492405432,0.85765949339865655,0.9859834371091305,False,none,none,0
train_0000,2,train,high_vibration,313.3396327642248,2.1670476533070682,0.7897332950222109,0.85893588969992474,313.3396327642248,2.1670476533070682,0.7897332950222109,0.85893588969992474,0.98567507089813855,False,none,none,0
train_0000,3,train,high_vibration,313.25814398014364,2.1861209210870278,0.78511796354997376,0.86116490540701773,313.25814398014364,2.1861209210870278,0.78511796354997376,0.86116490540701773,0.98530573045729652,False,none,none,0
train_0000,4,train,high_vibration,314.2060445404976,2.2066430159340951,0.76891573448783035,0.85492357246139561,314.2060445404976,2.2066430159340951,0.76891573448783035,0.85492357246139561,0.98491678726314236,False,none,none,0
train_0000,5,train,high_vibration,314.55443926954547,2.2053789362712983,0.77152364134700413,0.86013830720973716,314.55443926954547,2.2053789362712983,0.77152364134700413,0.86013830720973716,0.98461706670133464,False,none,none,0
train_0000,6,train,high_vibration,313.76691147767229,2.1893243627861256,0.76807837509607146,0.85808289142978944,313.76691147767229,2.1893243627861256,0.76807837509607146,0.85808289142978944,0.98457981148534812,False,none,none,0
train_0000,7,train,high_vibration,313.40675393374789,2.1660361860769939,0.80610400640270075,0.86044804779017725,313.40675393374789,1.787515435330064,0.80610400640270075,0.86044804779017725,0.98460659205538759,True,spike,pressure,-0.37852075074692992
train_0000,8,train,high_vibration,314.00348712563778,2.1909398514601066,0.80101589737094014,0.85542008408631653,314.00348712563778,2.1909398514601066,0.80101589737094014,0.85542008408631653,0.98429406476939063,False,none,none,0
train_0000,9,train,high_vibration,314.79530680359261,2.2109788007269819,0.76055718675078388,0.8540608535489923,314.79530680359261,2.2109788007269819,0.76055718675078388,0.8540608535489923,0.98431946823742045,False,none,none,0
train_0000,10,train,high_vibration,315.54952577158258,2.229832773880025,0.77611327509662231,0.85075509007801442,315.54952577158258,2.229832773880025,0.77611327509662231,0.85075509007801442,0.98407586499342359,False,none,none,0
train_0000,11,train,high_vibration,314.82873531117258,2.2224812342611417,0.79339285097271439,0.85436967380114104,314.82873531117258,2.2224812342611417,0.79339285097271439,0.85436967380114104,0.98407157792110111,False,none,none,0
train_0000,12,train,high_vibration,315.25178053249192,2.2143882895108176,0.78056045032630428,0.84822517580699519,315.25178053249192,2.2143882895108176,0.78056045032630428,0.84822517580699519,0.98379427531724739,False,none,none,0
train_0000,13,train,high_vibration,314.76859969756197,2.2273458183187649,0.80519174726612008,0.84725174469204012,314.76859969756197,2.2273458183187649,0.80519174726612008,0.84725174469204012,0.98355070181688553,False,none,none,0
train_0000,14,train,high_vibration,315.5239469533596,2.2476660498786618,0.79050397695468322,0.84559686553670477,315.5239469533596,2.2476660498786618,0.79050397695468322,0.84559686553670477,0.98333274703869711,False,none,none,0
train_0000,15,train,high_vibration,316.02618017777337,2.2509679506821696,0.8343772034279181,0.84475277365740919,316.02618017777337,2.2509679506821696,0.8343772034279181,0.84475277365740919,0.98352651828020299,False,none,none,0
